AC_Name,Zone,Ward_No,WardName,TotalPop,Area_sq_km,Pop_density,Ventilation_quality,percent_land_cover_in_greenery,green_land,percent_land_cover_in_water_bodies,water_area,percent_land_cover_in_buildings,buildings_area,percent_land_with_informal_growth_signature,planned_to_unplanned_ratio_index,building_footprint_size_index,narrow_street_density_index,major_roads_highways_density_index,area z score,pop density z score,Ventilation z score,Greenery z score,Water z score,Buildings z score,P/U Ratio z score,Footprint z score,Narrow Street z score,Major Roads z score
HARI NAGAR,West Zone,99,HARI NAGAR,74020,3.017,24534,8.34915,42,1.26714,0,0,58,1.74986,29,71,61,39,41,-0.242460539,-0.249296196,-0.96027588,0.760772942,-0.626764184,-0.435521563,0.956294219,1.210267364,-0.778540761,0.131411189
HARI NAGAR,West Zone,100,FATEH NAGAR,57335,3.145,18231,15.6461875,17,0.53465,0,0,83,2.61035,31,69,39,69,49,-0.23043746,-0.594143033,0.041438743,-0.54549928,-0.626764184,0.769974349,0.884672423,-0.020588868,0.411403341,0.523228636
TILAK NAGAR,West Zone,101,TILAK NAGAR,52859,2.139,24712,17.8076375,3,0.06417,1,0.02139,93,1.98927,38,61,46,87,58,-0.32493135,-0.239557542,0.338155879,-1.277011724,-0.416440632,1.252172714,0.598185239,0.371047206,1.125369802,0.964023264
TILAK NAGAR,West Zone,102,KHYALA,72421,2.463,29404,21.8214325,31,0.76353,7,0.17241,60,1.4778,69,42,31,78,41,-0.29449793,0.017149004,0.889157179,0.186013164,0.845500678,-0.33908189,-0.082221822,-0.468172952,0.768386572,0.131411189
TILAK NAGAR,West Zone,103,KESHOPUR,72766,2.362,30807,17.424,51,1.20462,22,0.51964,27,0.63774,4,92,82,12,32,-0.303984892,0.093909295,0.285491316,1.231030942,4.000353952,-1.930336494,1.708323076,2.385175585,-1.849490453,-0.309383439
JANAKPURI,West Zone,104,JANAK PURI SOUTH,80061,3.264,24528,7.296,33,1.07712,0,0,66,2.15424,12,89,62,42,62,-0.219259753,-0.249624466,-1.104849038,0.290514942,-0.626764184,-0.049762871,1.600890382,1.266215374,-0.659546351,1.159931988
JANAKPURI,West Zone,105,MAHAVEER ENCLAVE,70924,1.825,38862,23.0678125,6,0.1095,2,0.0365,92,1.679,84,14,32,91,22,-0.354425467,0.53461075,1.06025635,-1.120259058,-0.206117081,1.203952877,-1.084926964,-0.412224942,1.284029016,-0.799155248
JANAKPURI,West Zone,106,JANAK PURI WEST,69625,2.802,24848,5.78985,31,0.86862,1,0.02802,68,1.90536,11,92,66,34,73,-0.262655556,-0.232116773,-1.311608628,0.186013164,-0.416440632,0.046676802,1.708323076,1.490007416,-0.976864778,1.698680977
VIKASPURI,West Zone,107,VIKAS PURI,74846,2.719,27527,9.0120875,24,0.65256,2,0.05438,74,2.01206,17,84,57,46,68,-0.270451771,-0.085544557,-0.869269881,-0.179743058,-0.206117081,0.335995821,1.421835892,0.986475322,-0.500887137,1.453795073
VIKASPURI,West Zone,108,HASTSAL,68864,1.848,37264,21.31982,19,0.35112,7,0.12936,74,1.36752,78,21,36,87,28,-0.35226507,0.447181709,0.820297374,-0.440997502,0.845500678,0.335995821,-0.834250679,-0.188432899,1.125369802,-0.505292163
VIKASPURI,West Zone,109,VIKAS NAGAR,51864,2.375,21837,23.4771375,7,0.16625,11,0.26125,81,1.92375,87,21,31,92,11,-0.302763797,-0.39685322,1.116447214,-1.068008169,1.686794884,0.673534676,-0.834250679,-0.468172952,1.323693819,-1.337904238
VIKASPURI,West Zone,110,KUNWAR SINGH NAGAR,55270,14.255,3877,16.215975,36,5.1318,2,0.2851,59,8.41045,66,37,36,59,27,0.813128267,-1.37947248,0.119657399,0.447267609,-0.206117081,-0.387301727,-0.261276311,-0.188432899,0.014755307,-0.554269344
VIKASPURI,West Zone,111,BAPROLA,54328,3.916,13873,20.830988,13,0.50908,0,0,81,3.17196,82,27,37,78,16,-0.158017192,-0.832575925,0.753192037,-0.754502835,-0.626764184,0.673534676,-0.619385291,-0.132484889,0.768386572,-1.093018334
VIKASPURI,West Zone,112,SAINIK ENCLAVE,88571,2.926,30270,20.618157,6,0.17556,9,0.26334,84,2.45784,73,32,42,87,12,-0.251008198,0.064529198,0.723975259,-1.120259058,1.266147781,0.818194186,-0.440330801,0.147255164,1.125369802,-1.288927057
UTTAM NAGAR,West Zone,113,MOHAN GARDEN,60029,1.876,31998,23.802368,6,0.11256,7,0.13132,87,1.63212,84,18,32,91,12,-0.349635021,0.159070739,1.161093846,-1.120259058,0.845500678,0.962853695,-0.941683373,-0.412224942,1.284029016,-1.288927057
UTTAM NAGAR,West Zone,114,NAWADA,86959,2.238,38856,22.165774,9,0.20142,0,0,88,1.96944,82,26,33,87,16,-0.31563225,0.534282481,0.936427309,-0.963506391,-0.626764184,1.011073531,-0.655196189,-0.356276931,1.125369802,-1.093018334
UTTAM NAGAR,West Zone,115,UTTAM NAGAR,68309,1.489,45876,25.288562,4,0.05956,0,0,95,1.41455,88,17,23,97,12,-0.385986051,0.918357492,1.365113938,-1.224760835,-0.626764184,1.348612387,-0.97749427,-0.915757036,1.522017836,-1.288927057
UTTAM NAGAR,West Zone,116,BINDA PUR,58750,1.132,51899,17.869254,14,0.15848,0,0,84,0.95088,59,43,38,72,27,-0.419519171,1.247885098,0.346614401,-0.702251947,-0.626764184,0.818194186,-0.046410924,-0.076536878,0.530397751,-0.554269344
DWARKA,Najafgarh Zone,117,DABRI,66907,1.543,43362,20.794781,4,0.06172,0,0,93,1.43499,77,32,36,78,19,-0.380913814,0.780812681,0.748221652,-1.224760835,-0.626764184,1.252172714,-0.440330801,-0.188432899,0.768386572,-0.946086791
DWARKA,Najafgarh Zone,118,SAGARPUR,78790,1.096,71889,25.613,8,0.08768,0,0,88,0.96448,91,8,21,94,19,-0.422900662,2.341568785,1.409651778,-1.01575728,-0.626764184,1.011073531,-1.299792352,-1.027653057,1.403023426,-0.946086791
DWARKA,Najafgarh Zone,119,MANGLAPURI,68160,1.605,42467,18.6175875,27,0.43335,12,0.1926,60,0.963,68,31,37,69,51,-0.375090135,0.731845852,0.449343297,-0.022990391,1.897118436,-0.33908189,-0.476141699,-0.132484889,0.411403341,0.621182998
MATIALA,Najafgarh Zone,120,DWARKA-B,62971,10.587,5948,1.2471175,41,4.34067,4,0.42348,54,5.71698,13,86,82,19,78,0.468591896,-1.26616488,-1.935220823,0.708522053,0.214530023,-0.628400909,1.493457688,2.385175585,-1.57183683,1.943566882
MATIALA,Najafgarh Zone,121,DWARKA-A,73208,8.917,8210,18.532,33,2.94261,8,0.71336,54,4.81518,12,92,86,17,84,0.311728281,-1.142407377,0.437594111,0.290514942,1.055824229,-0.628400909,1.708323076,2.608967627,-1.651166436,2.237429967
MATIALA,Najafgarh Zone,122,MATIALA,54631,2.168,25199,21.0332,21,0.45528,1,0.02168,78,1.69104,77,24,31,81,32,-0.322207371,-0.212913022,0.780951071,-0.336495724,-0.416440632,0.528875167,-0.726817985,-0.468172952,0.887380982,-0.309383439
MATIALA,Najafgarh Zone,123,KAKROLA,65930,4.384,15039,22.52872,14,0.61376,9,0.39456,73,3.20032,81,18,24,84,46,-0.114057808,-0.768782269,0.986251408,-0.702251947,1.266147781,0.287775984,-0.941683373,-0.859809026,1.006375392,0.376297093
MATIALA,Najafgarh Zone,124,NANGLI SAKRAWATI,83159,9.524,8732,18.30951,28,2.66672,6,0.57144,63,6.00012,69,23,31,68,61,0.368743978,-1.113847953,0.407051376,0.029260498,0.635177126,-0.194422381,-0.762628883,-0.468172952,0.371738538,1.110954807
MATIALA,Najafgarh Zone,125,CHHAWALA,81500,91.722,889,9.229305,62,56.86764,4,3.66888,33,30.26826,38,29,28,31,39,8.089627476,-1.542950562,-0.839450938,1.80579072,0.214530023,-1.641017475,-0.547763495,-0.636016984,-1.095859189,0.033456827
NAJAFGARH,Najafgarh Zone,126,ISAPUR,76423,74.608,1024,7.7304,82,61.17856,2,1.49216,16,11.93728,21,12,18,22,22,6.482104176,-1.535564504,-1.045215957,2.850808497,-0.206117081,-2.460754696,-1.15654876,-1.195497089,-1.452842419,-0.799155248
NAJAFGARH,Najafgarh Zone,127,NAJAFGARH,68559,16.962,4042,7.75443,64,10.85568,3,0.50886,31,5.25822,24,43,34,31,59,1.067397613,-1.370445076,-1.041917193,1.910292497,0.004206471,-1.737457148,-0.046410924,-0.300328921,-1.095859189,1.013000445
NAJAFGARH,Najafgarh Zone,128,DICHAON KALAN,71665,16.075,4458,7.8528125,76,12.217,2,0.3215,20,3.215,41,18,24,18,29,0.984081429,-1.347685075,-1.028411549,2.537303164,-0.206117081,-2.26787535,-0.941683373,-0.859809026,-1.611501633,-0.456314982
NAJAFGARH,Najafgarh Zone,129,ROSHAN PURA,69828,4.251,16426,18.053645,17,0.72267,1,0.04251,79,3.35829,72,36,43,74,53,-0.126550539,-0.692897363,0.371927024,-0.54549928,-0.416440632,0.577095003,-0.297087209,0.203203174,0.609727358,0.719137359
BIJWASAN,Najafgarh Zone,130,DWARKA-C,45075,17.159,2627,7.928975,58,9.95222,0,0,9,1.54431,6,92,21,3,97,1.085901883,-1.447861905,-1.017956198,1.596787164,-0.626764184,-2.798293551,1.708323076,-1.027653057,-2.206473684,2.874133319
BIJWASAN,Najafgarh Zone,131,BIJWASAN,47291,12.092,3911,14.13724,46,5.56232,1,0.12092,51,6.16692,54,41,32,47,49,0.60995701,-1.377612288,-0.165704879,0.969776498,-0.416440632,-0.773060419,-0.11803272,-0.412224942,-0.461222334,0.523228636
BIJWASAN,Najafgarh Zone,132,KAPASHERA,74073,2.924,25333,16.3538,41,1.19884,2,0.05848,56,1.63744,59,31,37,66,36,-0.251196058,-0.205581676,0.138577587,0.708522053,-0.206117081,-0.531961236,-0.476141699,-0.132484889,0.292408931,-0.113474716
BIJWASAN,Najafgarh Zone,133,MAHIPALPUR,65162,18.426,3536,4.21018,18,3.31668,1,0.18426,61,11.23986,33,71,86,41,92,1.204911584,-1.398129115,-1.528460814,-0.493248391,-0.416440632,-0.290862054,0.956294219,2.608967627,-0.699211155,2.629247414
BIJWASAN,Najafgarh Zone,134,RAJ NAGAR,66635,1.375,48462,14.0884375,12,0.165,0,0,83,1.14125,42,61,42,54,46,-0.396694106,1.059841535,-0.172404335,-0.806753724,-0.626764184,0.769974349,0.598185239,0.147255164,-0.18356871,0.376297093
PALAM,Najafgarh Zone,135,PALAM,54900,2.084,26344,24.71345,6,0.12504,1,0.02084,93,1.93812,88,8,22,92,19,-0.330097517,-0.150268309,1.28616435,-1.120259058,-0.416440632,1.252172714,-1.299792352,-0.971705047,1.323693819,-0.946086791
PALAM,Najafgarh Zone,136,MADHU VIHAR,67394,1.486,45353,26.295675,6,0.08916,1,0.01486,93,1.38198,91,12,13,93,7,-0.386267842,0.889743357,1.503367279,-1.120259058,-0.416440632,1.252172714,-1.15654876,-1.475237142,1.363358623,-1.533812962
PALAM,Najafgarh Zone,137,MAHAVIR ENCLAVE,67473,1.495,45132,24.5444375,4,0.0598,0,0,94,1.4053,83,16,22,91,9,-0.385422469,0.877652107,1.26296284,-1.224760835,-0.626764184,1.30039255,-1.013305168,-0.971705047,1.284029016,-1.4358586
PALAM,Najafgarh Zone,138,SADH NAGAR,56487,1.097,51492,26.3491625,3,0.03291,2,0.02194,93,1.02021,88,11,17,94,7,-0.422806732,1.225617502,1.510709877,-1.277011724,-0.206117081,1.252172714,-1.192359658,-1.251445099,1.403023426,-1.533812962
RAJINDER NAGAR,Karolbagh,139,NARAINA,80240,2.645,30336,9.4855,22,0.5819,1,0.02645,77,2.03665,39,61,66,52,71,-0.277402614,0.068140159,-0.804281285,-0.284244835,-0.416440632,0.48065533,0.598185239,1.490007416,-0.262898317,1.600726616
RAJINDER NAGAR,Karolbagh,140,INDER PURI,59603,6.241,9550,7.8280125,64,3.99424,2,0.12482,33,2.05953,17,83,39,21,41,0.060370775,-1.069093913,-1.031816016,1.910292497,-0.206117081,-1.641017475,1.386024994,-0.020588868,-1.492507223,0.131411189
RAJINDER NAGAR,Karolbagh,141,RAJINDER NAGAR,62224,7.822,7955,3.488875,87,6.80514,0,0,13,1.01686,8,88,59,8,58,0.208874593,-1.156358819,-1.627479322,3.112062942,-0.626764184,-2.605414205,1.565079484,1.098371343,-2.008149667,0.964023264
JANGPURA,Central Zone,142,DARYAGANJ,44956,12.768,3521,3.61696,43,5.49024,16,2.04288,38,4.85184,28,68,79,31,89,0.673453899,-1.398949788,-1.609896212,0.813023831,2.738412642,-1.399918293,0.848861525,2.217331553,-1.095859189,2.482315872
JANGPURA,Central Zone,143,SIDHARTHA NAGAR,52058,4.074,12778,4.91852,51,2.07774,12,0.48888,36,1.46664,18,82,62,18,92,-0.143176203,-0.892485062,-1.431222101,1.231030942,1.897118436,-1.496357966,1.350214096,1.266215374,-1.611501633,2.629247414
JANGPURA,Central Zone,144,LAJPAT NAGAR,53035,2.257,23498,8.830725,29,0.65453,2,0.04514,68,1.53476,27,76,53,41,79,-0.313847574,-0.305977352,-0.894166761,0.081511387,-0.206117081,0.046676802,1.135348709,0.76268328,-0.699211155,1.992544063
KASTURBA NAGAR,Central Zone,145,ANDREWS GANJ,66237,5.026,13179,8.248375,34,1.70884,1,0.05026,64,3.21664,22,59,46,38,33,-0.05375455,-0.870545734,-0.974109959,0.342765831,-0.416440632,-0.146202544,0.526563443,0.371047206,-0.818205565,-0.260406258
KASTURBA NAGAR,Central Zone,146,AMAR COLONY,56045,2.055,27273,18.0445,21,0.43155,2,0.0411,77,1.58235,52,41,28,74,27,-0.332821496,-0.099441288,0.370671627,-0.336495724,-0.206117081,0.48065533,-0.11803272,-0.636016984,0.609727358,-0.554269344
KASTURBA NAGAR,Central Zone,147,KOTLA MUBARAKPUR,49669,1.853,26805,24.518375,11,0.20383,0,0,89,1.64917,87,17,21,92,12,-0.351795419,-0.125046289,1.259385061,-0.859004613,-0.626764184,1.059293368,-0.97749427,-1.027653057,1.323693819,-1.288927057
MALVIYA NAGAR,South Zone,148,HAUZ KHAS,45509,5.725,7949,8.549625,46,2.6335,4,0.229,48,2.748,27,63,51,39,37,0.011902736,-1.156687089,-0.932755295,0.969776498,0.214530023,-0.917719928,0.669807035,0.650787258,-0.778540761,-0.064497535
MALVIYA NAGAR,South Zone,149,MALVIYA NAGAR,62475,2.766,22587,12.29255,31,0.85746,1,0.02766,66,1.82556,34,67,44,49,33,-0.266037047,-0.355819565,-0.418938187,0.186013164,-0.416440632,-0.049762871,0.813050627,0.259151185,-0.381892727,-0.260406258
MALVIYA NAGAR,South Zone,150,GREEN PARK,49705,3.964,12539,6.10135,46,1.82344,0,0,54,2.14056,12,86,54,31,46,-0.153508537,-0.90556112,-1.268846876,0.969776498,-0.626764184,-0.628400909,1.493457688,0.81863129,-1.095859189,0.376297093
R K PURAM,South Zone,151,MUNIRKA,64543,2.789,23142,15.5059625,23,0.64147,0,0,74,2.06386,53,44,44,66,33,-0.26387665,-0.32545466,0.022189091,-0.231993947,-0.626764184,0.335995821,-0.010600026,0.259151185,0.292408931,-0.260406258
R K PURAM,South Zone,152,R.K. PURAM,54347,2.265,23994,5.38675,38,0.8607,1,0.02265,61,1.38165,12,87,61,29,52,-0.313096131,-0.278840428,-1.366944943,0.551769387,-0.416440632,-0.290862054,1.529268586,1.210267364,-1.175188795,0.670160179
R K PURAM,South Zone,153,VASANT VIHAR,55960,7.591,7372,3.87045,41,3.11231,0,0,58,4.40278,14,82,68,28,54,0.187176692,-1.188255647,-1.575097893,0.708522053,-0.626764184,-0.435521563,1.350214096,1.601903437,-1.214853599,0.76811454
MEHRAULI,South Zone,154,LADO SARAI,68172,3.878,17579,9.604575,43,1.66754,0,0,53,2.05534,36,58,52,39,62,-0.161586544,-0.629814958,-0.787935039,0.813023831,-0.626764184,-0.676620746,0.490752546,0.706735269,-0.778540761,1.159931988
MEHRAULI,South Zone,155,MEHRAULI,74939,5.669,13219,17.71655,38,2.15422,0,0,62,3.51478,61,32,29,72,28,0.006642639,-0.868357272,0.32565167,0.551769387,-0.626764184,-0.242642217,-0.440330801,-0.580068973,0.530397751,-0.505292163
MEHRAULI,South Zone,156,VASANT KUNJ,57080,22.612,2524,2.21735,57,12.88884,0,0,43,9.72316,12,83,71,18,62,1.598103856,-1.453497194,-1.802030321,1.544536275,-0.626764184,-1.15881911,1.386024994,1.769747469,-1.611501633,1.159931988
CHHATARPUR,South Zone,157,AYA NAGAR,51783,15.482,3345,19.282375,36,5.57352,0,0,63,9.75366,72,32,34,82,19,0.928380756,-1.408579019,0.540603258,0.447267609,-0.626764184,-0.194422381,-0.440330801,-0.300328921,0.927045785,-0.946086791
CHHATARPUR,South Zone,158,BHATI,71373,55.88,1277,8.6985,64,35.7632,0,0,34,18.9992,42,18,29,31,22,4.722977359,-1.521722484,-0.912318198,1.910292497,-0.626764184,-1.592797639,-0.941683373,-0.580068973,-1.095859189,-0.799155248
CHHATARPUR,South Zone,159,CHHATARPUR,58988,10.944,5390,12.0896,47,5.14368,2,0.21888,51,5.58144,52,52,51,48,39,0.502125016,-1.29669392,-0.446798533,1.022027386,-0.206117081,-0.773060419,0.275887158,0.650787258,-0.421557531,0.033456827
CHHATARPUR,South Zone,160,SAID-UL-AJAIB,70967,25.798,2751,16.242675,26,6.70748,0,0,74,19.09052,67,36,36,72,41,1.897365819,-1.441077674,0.123322692,-0.07524128,-0.626764184,0.335995821,-0.297087209,-0.188432899,0.530397751,0.131411189
DEOLI,South Zone,161,DEOLI,69916,5.069,13793,20.9331875,36,1.82484,0,0,64,3.24416,77,26,24,74,18,-0.049715546,-0.836952848,0.767221666,0.447267609,-0.626764184,-0.146202544,-0.655196189,-0.859809026,0.609727358,-0.995063972
DEOLI,South Zone,162,TIGRI,70576,1.021,69124,22.3596125,4,0.04084,0,0,96,0.98016,49,44,19,89,32,-0.429945435,2.190291376,0.963036856,-1.224760835,-0.626764184,1.396832223,-0.010600026,-1.139549078,1.204699409,-0.309383439
DEOLI,South Zone,163,SANGAM VIHAR-A,75114,1.419,52934,26.5903625,17,0.24123,0,0,83,1.17777,94,6,17,97,4,-0.392561172,1.304511542,1.543821063,-0.54549928,-0.626764184,0.769974349,-1.371414148,-1.251445099,1.522017836,-1.680744504
DEOLI,South Zone,164,DAKSHIN PURI,72967,1.801,40515,18.704975,51,0.91851,0,0,49,0.88249,69,31,24,58,19,-0.356679795,0.625048926,0.461339581,1.231030942,-0.626764184,-0.869500092,-0.476141699,-0.859809026,-0.024909497,-0.946086791
AMBEDKAR NAGAR,South Zone,165,MADANGIR,52695,1.164,45271,12.9477,16,0.11506,2,0.02328,82,0.95448,31,71,38,52,51,-0.416513401,0.885257011,-0.329001232,-0.597750169,-0.206117081,0.721754513,0.956294219,-0.076536878,-0.262898317,0.621182998
AMBEDKAR NAGAR,South Zone,166,PUSHP VIHAR,82509,2.416,34151,2.7198,56,1.35296,0,0,43,1.03888,3,96,71,22,59,-0.298912655,0.276864685,-1.733055547,1.492285386,-0.626764184,-1.15881911,1.851566668,1.769747469,-1.452842419,1.013000445
AMBEDKAR NAGAR,South Zone,167,KHANPUR,64453,2.709,23792,16.546825,29,0.78561,1,0.02709,68,1.84212,59,42,38,67,33,-0.271391074,-0.289892159,0.165075459,0.081511387,-0.416440632,0.046676802,-0.082221822,-0.076536878,0.332073734,-0.260406258
SANGAM VIHAR,Central Zone,168,SANGAM VIHAR-C,73215,2.184,33523,24.1408,41,0.89544,2,0.04368,56,1.22304,88,12,22,84,9,-0.320704486,0.242505838,1.207552739,0.708522053,-0.206117081,-0.531961236,-1.15654876,-0.971705047,1.006375392,-1.4358586
SANGAM VIHAR,Central Zone,169,SANGAM VIHAR-B,72010,4.549,15830,13.1705875,73,3.32077,1,0.04549,24,1.09176,78,8,21,19,7,-0.098559307,-0.725505441,-0.298403929,2.380550497,-0.416440632,-2.074996004,-1.299792352,-1.027653057,-1.57183683,-1.533812962
SANGAM VIHAR,Central Zone,170,TUGHLAKABAD EXTENSION,72486,3.452,20998,19.53425,33,1.13916,2,0.06904,63,2.17476,76,27,32,71,28,-0.201600855,-0.442756202,0.575179875,0.290514942,-0.206117081,-0.194422381,-0.619385291,-0.412224942,0.490732948,-0.505292163
GREATER KAILASH,South Zone,171,CHITARANJAN PARK,62940,3.592,17522,4.1602,51,1.83192,0,0,49,1.76008,6,94,61,21,72,-0.188450612,-0.632933515,-1.535321913,1.231030942,-0.626764184,-0.869500092,1.779944872,1.210267364,-1.492507223,1.649703796
GREATER KAILASH,South Zone,172,CHIRAG DELHI,74850,4.199,17826,18.7375625,37,1.55363,2,0.08398,61,2.56139,71,38,47,74,29,-0.131434915,-0.616301207,0.465813092,0.499518498,-0.206117081,-0.290862054,-0.225465413,0.426995216,0.609727358,-0.456314982
GREATER KAILASH,South Zone,173,GREATER KAILASH,47763,4.797,9957,2.25,62,2.97414,1,0.04797,37,1.77489,11,88,74,19,48,-0.07526459,-1.046826316,-1.797548231,1.80579072,-0.416440632,-1.448138129,1.565079484,1.937591501,-1.57183683,0.474251455
KALKAJI,Central Zone,174,SRI NIWAS PURI,70489,3.634,19397,13.999925,29,1.05386,1,0.03634,68,2.47112,52,52,42,48,19,-0.184505539,-0.530349378,-0.184555055,0.081511387,-0.416440632,0.046676802,0.275887158,0.147255164,-0.421557531,-0.946086791
KALKAJI,Central Zone,175,KALKAJI,45038,3.167,14221,6.730326,43,1.36181,8,0.25336,42,1.33014,36,66,64,25,39,-0.228370993,-0.813536309,-1.182503006,0.813023831,1.055824229,-1.207038947,0.777239729,1.378111395,-1.333848009,0.033456827
KALKAJI,Central Zone,176,GOVIND PURI,74610,1.532,48701,27.3834,6,0.05088,0,0,94,1.44008,96,4,8,94,8,-0.381947048,1.072917593,1.652686786,-1.120259058,-0.626764184,1.30039255,-1.443035944,-1.754977194,1.403023426,-1.484835781
TUGHLAKABAD,Central Zone,177,HARKESH NAGAR,65932,3.897,16919,19.3232785,15,0.81837,1,0.03897,84,3.27348,62,39,27,68,29,-0.159801868,-0.665924574,0.546218364,-0.650001058,-0.416440632,0.818194186,-0.189654516,-0.691964994,0.371738538,-0.456314982
TUGHLAKABAD,Central Zone,178,TUGHLAKABAD,63172,6.457,9783,23.024005,47,3.03479,3,0.19371,49,3.16393,86,17,21,78,44,0.080659722,-1.056346124,1.054242593,1.022027386,0.004206471,-0.869500092,-0.97749427,-1.027653057,0.768386572,0.278342731
TUGHLAKABAD,Central Zone,179,PUL PEHLADPUR,69724,5.513,12647,19.47435,39,2.15007,0,0,61,3.36293,74,23,28,69,57,-0.008010489,-0.899652273,0.56695699,0.604020275,-0.626764184,-0.290862054,-0.762628883,-0.636016984,0.411403341,0.915046083
BADARPUR,Central Zone,180,BADARPUR,70836,2.467,28713,21.37665,38,0.93746,0,0,58,1.43086,78,22,24,74,36,-0.294122209,-0.02065667,0.82809882,0.551769387,-0.626764184,-0.435521563,-0.798439781,-0.859809026,0.609727358,-0.113474716
BADARPUR,Central Zone,181,MOLARBAND,66525,1.378,48276,24.838085,8,0.11024,1,0.01378,84,1.15752,88,9,21,89,12,-0.396412315,1.049665189,1.303273856,-1.01575728,-0.416440632,0.818194186,-1.263981454,-1.027653057,1.204699409,-1.288927057
BADARPUR,Central Zone,182,MEETHAPUR,69837,1.947,35869,23.03583,12,0.33099,7,0.13629,80,1.5576,84,16,26,86,26,-0.34296597,0.370859111,1.055865892,-0.806753724,0.845500678,0.62531484,-1.013305168,-0.747913005,1.085704999,-0.603246525
BADARPUR,Central Zone,183,HARI NAGAR EXTENSION,66979,1.593,42046,22.784945,7,0.11151,4,0.06372,89,1.41777,78,21,24,86,32,-0.376217299,0.708812294,1.021425179,-1.068008169,0.214530023,1.059293368,-0.834250679,-0.859809026,1.085704999,-0.309383439
BADARPUR,Central Zone,184,JAITPUR,62317,3.669,16985,16.798205,33,1.21077,13,0.47697,49,1.79781,58,36,26,54,18,-0.181217978,-0.662313612,0.199584124,0.290514942,2.107441987,-0.869500092,-0.297087209,-0.747913005,-0.18356871,-0.995063972
OKHLA,Central Zone,185,MADANPUR KHADAR EAST,55119,6.552,8413,14.580672,29,2.42424,26,1.70352,43,2.81736,54,29,24,52,19,0.089583101,-1.131300934,-0.104831913,0.081511387,4.841648159,-1.15881911,-0.547763495,-0.859809026,-0.262898317,-0.946086791
OKHLA,Central Zone,186,MADANPUR KHADAR WEST,56323,3.054,18442,11.89311,26,0.79404,1,0.03054,41,1.25214,52,28,31,41,39,-0.238985118,-0.582598899,-0.473772069,-0.07524128,-0.416440632,-1.255258783,-0.583574393,-0.468172952,-0.699211155,0.033456827
OKHLA,Central Zone,187,SARITA VIHAR,55385,5.482,10103,2.4759,38,2.08316,2,0.10964,58,3.17956,17,78,73,27,59,-0.010922329,-1.038838431,-1.766537381,0.551769387,-0.206117081,-0.435521563,1.206970505,1.88164349,-1.254518402,1.013000445
OKHLA,Central Zone,188,ABUL FAZAL ENCLAVE,76012,3.365,22589,20.146675,14,0.4711,16,0.5384,69,2.32185,74,27,28,77,44,-0.209772792,-0.355710142,0.659251676,-0.702251947,2.738412642,0.094896638,-0.619385291,-0.636016984,0.728721768,0.278342731
OKHLA,Central Zone,189,ZAKIR NAGAR,76470,4.584,16682,17.98642,36,1.65024,11,0.50424,52,2.38368,71,24,26,59,36,-0.095271746,-0.678891209,0.362698585,0.447267609,1.686794884,-0.724840582,-0.726817985,-0.747913005,0.014755307,-0.113474716
TRILOKPURI,Shahdara South Zone,190,NEW ASHOK NAGAR,63870,1.435,44509,23.6065,22,0.3157,0,0,78,1.1193,86,18,23,87,29,-0.391058287,0.843566817,1.134205696,-0.284244835,-0.626764184,0.528875167,-0.941683373,-0.915757036,1.125369802,-0.456314982
TRILOKPURI,Shahdara South Zone,191,MAYUR VIHAR PHASE-I,88878,1.771,50185,2.16145,42,0.74382,1,0.01771,57,1.00947,11,89,76,21,62,-0.359497704,1.154109519,-1.8097041,0.760772942,-0.416440632,-0.4837414,1.600890382,2.049487522,-1.492507223,1.159931988
TRILOKPURI,Shahdara South Zone,192,TRILOKPURI,88792,1.118,79420,20.8775,11,0.1078,1,0.01118,88,0.98384,47,77,29,74,39,-0.420834195,2.753601393,0.75957706,-0.859004613,-0.416440632,1.011073531,1.171159607,-0.580068973,0.609727358,0.033456827
KONDLI,Shahdara South Zone,193,KONDLI,66098,3.15,20983,17.990125,27,0.8505,8,0.252,64,2.016,47,68,33,63,52,-0.229967808,-0.443576875,0.363207196,-0.022990391,1.055824229,-0.146202544,0.848861525,-0.356276931,0.173414521,0.670160179
KONDLI,Shahdara South Zone,194,GHAROLI,78926,2.805,28138,20.0256,17,0.47685,3,0.08415,62,1.7391,69,28,28,77,39,-0.262373765,-0.052115806,0.642630876,-0.54549928,0.004206471,-0.242642217,-0.583574393,-0.636016984,0.728721768,0.033456827
KONDLI,Shahdara South Zone,195,KALYANPURI,87375,2.563,34091,19.282145,26,0.66638,6,0.15378,66,1.69158,39,73,29,69,62,-0.2851049,0.273581992,0.540571685,-0.07524128,0.635177126,-0.049762871,1.027916015,-0.580068973,0.411403341,1.159931988
PATPARGANJ,Shahdara South Zone,196,MAYUR VIHAR PHASE-II,55663,2.526,22036,5.405275,46,1.16196,2,0.05052,50,1.263,13,84,66,31,68,-0.288580321,-0.385965623,-1.364401888,0.969776498,-0.206117081,-0.821280255,1.421835892,1.490007416,-1.095859189,1.453795073
PATPARGANJ,Shahdara South Zone,197,PATPAR GANJ,58762,9.825,5981,2.5736875,58,5.6985,14,1.3755,26,2.5545,9,68,51,9,96,0.397017001,-1.2643594,-1.753113417,1.596787164,2.317765539,-1.978556331,0.848861525,0.650787258,-1.968484864,2.825156138
